OrderDate;Country;LineTotal;ProductName;ProductNumber;Class;Size
2011-05-31;AU;20.1865;Sport-100 Helmet;HL-U509;L;-
2011-05-31;AU;40.373;Sport-100 Helmet;HL-U509;L;-
2011-05-31;AU;20.1865;Sport-100 Helmet;HL-U509;L;-
2011-05-31;AU;20.1865;Sport-100 Helmet;HL-U509-R;L;-
2011-05-31;AU;100.9325;Sport-100 Helmet;HL-U509;L;-
2011-05-31;AU;10124.97;Mountain-100 Black;BK-M82B-38;H;38
2011-05-31;AU;2039.994;Mountain-100 Silver;BK-M82S-42;H;42
2011-05-31;AU;2024.994;Mountain-100 Black;BK-M82B-42;H;42
2011-05-31;AU;3399.99;Mountain-100 Silver;BK-M82S-44;H;44
2011-05-31;AU;367.8764;LL Road Frame - Red;FR-R38R-44;L;44
2011-05-31;AU;2097.2945;Road-650 Red;BK-R50R-44;L;44
2011-05-31;AU;4079.988;Mountain-100 Silver;BK-M82S-44;H;44
2011-05-31;AU;6074.982;Mountain-100 Black;BK-M82B-44;H;44
2011-05-31;AU;1749.588;Road-450 Red;BK-R68R-44;M;44
2011-05-31;AU;838.9178;Road-650 Red;BK-R50R-44;L;44
2011-05-31;AU;419.4589;Road-650 Black;BK-R50B-44;L;44
2011-05-31;AU;183.9382;LL Road Frame - Red;FR-R38R-44;L;44
2011-05-31;AU;4049.988;Mountain-100 Black;BK-M82B-44;H;44
2011-05-31;AU;2039.994;Mountain-100 Silver;BK-M82S-44;H;44
2011-05-31;AU;419.4589;Road-650 Black;BK-R50B-44;L;44
2011-05-31;AU;4079.988;Mountain-100 Silver;BK-M82S-44;H;44
2011-05-31;AU;419.4589;Road-650 Red;BK-R50R-48;L;48
2011-05-31;AU;713.796;ML Road Frame - Red;FR-R72R-48;M;48
2011-05-31;AU;713.796;ML Road Frame - Red;FR-R72R-48;M;48
2011-05-31;AU;1070.694;ML Road Frame - Red;FR-R72R-48;M;48
2011-05-31;AU;2039.994;Mountain-100 Silver;BK-M82S-48;H;48
2011-05-31;AU;2039.994;Mountain-100 Silver;BK-M82S-48;H;48
2011-05-31;AU;809.76;HL Mountain Frame - Black;FR-M94B-48;H;48
2011-05-31;AU;1749.588;Road-450 Red;BK-R68R-52;M;52
2011-05-31;AU;1749.588;Road-450 Red;BK-R68R-52;M;52
2011-05-31;AU;874.794;Road-450 Red;BK-R68R-52;M;52
2011-05-31;AU;419.4589;Road-650 Black;BK-R50B-52;L;52
2011-05-31;AU;838.9178;Road-650 Red;BK-R50R-52;L;52
2011-05-31;AU;419.4589;Road-650 Black;BK-R50B-52;L;52
2011-05-31;AU;838.9178;Road-650 Black;BK-R50B-52;L;52
2011-05-31;AU;2146.962;Road-150 Red;BK-R93R-56;H;56
2011-05-31;AU;178.5808;LL Road Frame - Black;FR-R38B-58;L;58
2011-05-31;AU;419.4589;Road-650 Red;BK-R50R-60;L;60
2011-05-31;AU;419.4589;Road-650 Red;BK-R50R-60;L;60
2011-05-31;AU;874.794;Road-450 Red;BK-R68R-60;M;60
2011-05-31;AU;419.4589;Road-650 Red;BK-R50R-62;L;62
2011-05-31;AU;115.3616;Long-Sleeve Logo Jersey;LJ-0192-L;L;L
2011-05-31;AU;86.5212;Long-Sleeve Logo Jersey;LJ-0192-L;L;L
2011-05-31;AU;86.5212;Long-Sleeve Logo Jersey;LJ-0192-L;L;L
2011-05-31;AU;5.7;Mountain Bike Socks;SO-B909-L;L;L
2011-05-31;AU;34.2;Mountain Bike Socks;SO-B909-M;L;M
2011-05-31;AU;57.6808;Long-Sleeve Logo Jersey;LJ-0192-M;L;M
2011-05-31;AU;57.6808;Long-Sleeve Logo Jersey;LJ-0192-M;L;M
2011-05-31;AU;57.6808;Long-Sleeve Logo Jersey;LJ-0192-X;L;XL
2011-05-31;AU;28.8404;Long-Sleeve Logo Jersey;LJ-0192-X;L;XL
2011-05-31;CA;100.9325;Sport-100 Helmet;HL-U509-B;L;-
2011-05-31;CA;20.1865;Sport-100 Helmet;HL-U509-R;L;-
2011-05-31;CA;80.746;Sport-100 Helmet;HL-U509-R;L;-
2011-05-31;CA;20.1865;Sport-100 Helmet;HL-U509;L;-
2011-05-31;CA;40.373;Sport-100 Helmet;HL-U509-B;L;-
2011-05-31;CA;20.1865;Sport-100 Helmet;HL-U509-R;L;-
